category,title,description,link,pubDate,collected_at
HR 트렌드 & HR Tech,하동군이 확 바뀐다…관행 걷어내고 실용 중심 행정 선택,있는 조직문화를 조성해 행정 효율성과 군민 만족도를 높인다는 방침이다. 김 군수는 지난 27일 열린 주간... 목소리를 제도 개선에 적극 반영할 방침이다. 주민과의 소통 방식도 실효성을 높이는 방향으로 바뀐다....,https://www.newsis.com/view/NISX20260728_0003726511,"Tue, 28 Jul 2026 14:36:00 +0900",2026-07-28 18:38:24
HR 트렌드 & HR Tech,[기고] 공무원보수위원회가 남긴 가장 큰 유산,"정부, '보수위 합의' 존중해야 올해 보수위는 앞으로 공무원 노사관계가 나아가야 할 방향을 보여줬다. 파업권이 없는 노동자에게 협상의 문은 더 넓게 열려 있어야 하며, 대화의 결과 역시 더욱 존중받아야 한다. 사회적...",https://www.laborplus.co.kr/news/articleView.html?idxno=41218,"Tue, 28 Jul 2026 09:19:00 +0900",2026-07-28 18:38:24
HR 트렌드 & HR Tech,[취재수첩] 지방노동감독관이 '향(鄕)독관' 되지 않으려면,"감독·수사 대상인 임금체불, 산업안전, 근로시간 위반 등은 지역 경제와 정치, 노사관계에 복잡하게 얽혀 있다. 이 같은 감독권을 중앙정부가 아니라 지방정부 소속 공무원이 휘두를 때 지역 정치인·기업·노조 등의...",https://www.hankyung.com/article/2026072788411,"Tue, 28 Jul 2026 01:32:00 +0900",2026-07-28 18:38:24
HR 트렌드 & HR Tech,"2028년 앞둔 한국지엠, '벼랑 끝 전술'에 어떻게?","정부권 수석보좌관은 ""개정안은 외국인투자 촉진법 내에서 완결적 규율 체계를 갖췄으나 '먹튀 방지·고용 보장'의 실효성을 높이기 위해"" 근로기준법·상법 등 관련 법률과 연계(대규모 구조조정 시 고용 보호 계획 수립...",https://www.laborplus.co.kr/news/articleView.html?idxno=41220,"Mon, 27 Jul 2026 23:02:00 +0900",2026-07-28 18:38:24
HR 트렌드 & HR Tech,일반기계기사 실기 문제 유출…응시자 전원 재시험 결정,"공단은 재시험 대상 수험자에게 관련 지침에 따른 보상금도 지급할 예정이다. 이와 함께 공단은 정확한 사고... 2021년 세무사 시험에서는 불공정 논란이 불거졌으며, 이후 고용노동부 감사에서 답안 채점 과정 등의...",https://www.newsis.com/view/NISX20260727_0003725464,"Mon, 27 Jul 2026 21:25:00 +0900",2026-07-28 18:38:24
HR 트렌드 & HR Tech,[홍기빈의 두 번째 의견]‘전환적 사회정책’이 나와야 할 차례다,"이를 위해서는 국가의 전폭적인 지원뿐만 아니라 물류 유통의 획기적인 변화, 기업 금융과 자본 시장과 노사 관계를 아우르는 경제제도 전체의 변화가 벌어져야만 했다. 이러한 변화가 담보되지 않는다면 철도의 투자...",https://www.khan.co.kr/article/202607272013005,"Mon, 27 Jul 2026 20:13:00 +0900",2026-07-28 18:38:24
HR 트렌드 & HR Tech,"""성과 나누는 무노조 기업이 노사 대화 더 활발""",김 교수는 최저임금위원회와 경제사회노동위원회 등에서 공익위원으로 활동해온 임금·인사·노사관계 전문가다. 노사협의회 활성화 정도는 회사가 노사협의회를 경영전략 수립의 중요 요소로 인식하는지 등 5개...,https://www.mk.co.kr/article/12108685,"Mon, 27 Jul 2026 17:55:00 +0900",2026-07-28 18:38:24
HR 트렌드 & HR Tech,"강원교육청·전교조 강원지부, 노사관계 정상화 공동선언",강원교육청과 전교조 강원지부가 파행 2년 만에 노사관계 정상화의 첫걸음을 내디뎠다. 강원교육청과 전교조 강원지부는 27일 오후 도교육청 소회의실에서 ‘노사관계 정상화 공동선언’을 했다. 앞서 신경호 전...,https://www.hani.co.kr/arti/area/gangwon/1270131.html,"Mon, 27 Jul 2026 15:56:00 +0900",2026-07-28 18:38:24
HR 트렌드 & HR Tech,"부산시의회, 인사청문 확대 조례안 심사 보류…“기관장 공백 우려”",운영체계를 개편하는 내용을 담고 있다. 운영위는 인사검증 강화 취지에는 공감하면서도 제도 시행 시기를 조정하는 것이 우선이라고 판단했다. 현재 부산시 산하 12개 공공기관이 기관장 공석 상태인 만큼 청문 대상이...,https://www.sedaily.com/article/20072370?ref=naver,"Mon, 27 Jul 2026 15:49:00 +0900",2026-07-28 18:38:24
HR 트렌드 & HR Tech,"금속노조 경남지부, 현대위아 특수사업부 매각 추진 철회 촉구","경남지부와 현대위아지회는 ""우리의 정당한 요구가 수용되지 않고 매각이 강행된다면 모든 수단과 방법을 동원해 투쟁할 것""이라며 ""향후 발생할 노사관계 파행과 사태에 대한 모든 책임은 사측과 그룹에 있음을 밝혀...",https://www.newsis.com/view/NISX20260727_0003724868,"Mon, 27 Jul 2026 14:46:00 +0900",2026-07-28 18:38:24
